"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 24 04:10:41 GMT 2025","Mon Feb 24 04:11:14 GMT 2025","32434","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Mon Feb 24 04:11:19 GMT 2025","Mon Feb 24 04:11:21 GMT 2025","2466","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Mon Feb 24 04:11:14 GMT 2025","Mon Feb 24 04:11:15 GMT 2025","731","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Mon Feb 24 04:11:27 GMT 2025","Mon Feb 24 04:11:30 GMT 2025","2853","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Mon Feb 24 04:11:23 GMT 2025","Mon Feb 24 04:11:24 GMT 2025","777","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:11:16 GMT 2025","Mon Feb 24 04:11:16 GMT 2025","497","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:11:15 GMT 2025","Mon Feb 24 04:11:16 GMT 2025","680","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:11:22 GMT 2025","Mon Feb 24 04:11:23 GMT 2025","1265","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:11:24 GMT 2025","Mon Feb 24 04:11:27 GMT 2025","2656","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Mon Feb 24 04:11:16 GMT 2025","Mon Feb 24 04:11:19 GMT 2025","2422","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
